iter	Passed	Remaining
0	58	58056
1	58	29256
2	59	19616
3	59	14794
4	59	11895
5	60	9968
6	60	8603
7	61	7567
8	61	6764
9	61	6114
10	62	5587
11	62	5148
12	63	4786
13	63	4462
14	63	4186
15	64	3941
16	64	3731
17	64	3541
18	65	3373
19	65	3220
20	66	3080
21	66	2952
22	66	2836
23	67	2732
24	67	2636
25	67	2546
26	68	2462
27	68	2384
28	69	2311
29	69	2243
30	69	2181
31	70	2120
32	70	2062
33	70	2009
34	71	1959
35	71	1910
36	71	1865
37	72	1823
38	72	1783
39	72	1744
40	72	1707
41	73	1671
42	73	1639
43	73	1607
44	74	1575
45	74	1546
46	74	1518
47	75	1491
48	75	1469
49	76	1444
50	76	1420
51	76	1399
52	77	1376
53	77	1355
54	77	1334
55	78	1315
56	78	1296
57	78	1279
58	79	1271
59	80	1254
60	80	1238
61	80	1221
62	81	1205
63	81	1189
64	81	1174
65	81	1159
66	82	1145
67	82	1132
68	82	1118
69	83	1106
70	83	1093
71	83	1080
72	84	1068
73	84	1056
74	84	1044
75	84	1033
76	85	1022
77	85	1013
78	86	1004
79	86	994
80	86	984
81	87	974
82	87	963
83	87	954
84	87	946
85	88	937
86	88	930
87	88	922
88	89	913
89	89	905
90	89	897
91	90	889
92	90	882
93	90	874
94	91	874
95	92	867
96	92	860
97	92	852
98	92	846
99	93	839
100	93	834
101	94	827
102	94	821
103	94	815
104	94	808
105	95	802
106	95	796
107	95	790
108	96	785
109	96	780
110	96	775
111	97	770
112	97	764
113	97	759
114	98	754
115	98	749
116	98	744
117	99	740
118	99	735
119	99	730
120	99	726
121	100	720
122	100	716
123	100	712
124	101	708
125	101	703
126	101	699
127	102	695
128	102	691
129	102	686
130	102	682
131	103	678
132	103	674
133	103	670
134	104	667
135	104	664
136	104	660
137	105	656
138	105	652
139	105	649
140	106	645
141	106	641
142	106	638
143	106	634
144	107	631
145	107	628
146	107	625
147	108	622
148	108	618
149	108	615
150	108	612
151	109	609
152	109	606
153	109	603
154	110	600
155	110	597
156	110	594
157	111	592
158	111	589
159	111	586
160	111	582
161	112	580
162	112	577
